 gender	height	 weight	age 	commute
1	153	48	23	15
1	167	51	23	20
1	155	50	26	50
1	160	55	20	20
1	170	58	20	60
1	165	49	20	60
1	162	46	20	60
1	163	70	19	50
1	158	40	20	90
1	163	55	20	60
1	160	50	20	50
1	168	51	20	90
1	160	52	20	90
1	152	50	19	90
1	160	48	20	40
1	166	50	20	10
2	169	59	28	5
2	180	71	20	40
2	165	55	20	60
2	173	79	19	50
2	180	66	20	50
2	175	80	19	30
2	180	66	19	40
2	165	58	20	10
2	180	75	20	90
2	183	64	20	10
2	180	64	20	30
2	178	71	17	50
2	174	71	20	40
2	175	69	20	40
2	170	65	20	90
2	168	64	20	10
2	172	59	20	50
2	168	50	20	5
2	170	61	20	30
2	168	56	20	10
2	167	60	20	110
2	174	73	20	60
2	173	63	20	10
2	170	55	20	15
2	173	65	20	10
2	171	64	20	90
2	175	74	19	90
2	172	75	20	90
2	170	67	20	90
2	170	58	20	20
2	170	63	20	50
2	167	55	20	60
2	168	70	20	45
2	184	72	21	40
2	172	67	19	50
2	180	57	20	10
